State,Cost
Alabama,5637
Alaska,10957
Arizona,9437
Arkansas,5995
California,11817
Colorado,13154
Connecticut,13880
Delaware,11000
District of Columbia,22631
Florida,8694
Georgia,7644
Hawaii,8280
Idaho,7200
Illinois,12964
Indiana,8918
Iowa,9485
Kansas,11201
Kentucky,6294
Louisiana,5747
Maine,9512
Maryland,13932
Massachusetts,17062
Michigan,9882
Minnesota,14366
Mississippi,4822
Missouri,8632
Montana,9062
Nebraska,7926
Nevada,9852
New Hampshire,11810
New Jersey,11534
New Mexico,7942
New York,14144
North Carolina,9255
North Dakota,8217
Ohio,8977
Oklahoma,6788
Oregon,11322
Pennsylvania,10640
Rhode Island,12867
South Carolina,6475
South Dakota,5661
Tennessee,5857
Texas,8759
Utah,8641
Vermont,11270
Virginia,10458
Washington,12733
West Virginia,7926
Wisconsin,11579
Wyoming,6541
